Fiscal Year Closed,Release Month & Year,Closure Type,Race - Ethnicity,Sex,Age at Closure,Institution Name ,Convicting Offense,Convicting Offense Classification,Zip Code of Work Unit Region,Convicting Offense Description,Convicting Offense Type,Convicting Offense Subtype,Months Served
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,37,Iowa State Penitentiary,713.6A,D Felony,"52627(40.651925, -91.34727)",BURGLARY 3RD DEGREE,Property,Burglary,10.33
2016,07/01/2015 12:00:00 AM,Parole Granted,White - Hispanic,Male,21,Mount Pleasant Correctional Facility,713.5,C Felony,"52641(40.988278, -91.57896)",BURGLARY 2ND DEGREE,Property,Burglary,23.72
2015,08/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,36,Newton Correctional Facility,714.2(2),D Felony,"50208(41.707788, -93.035318)",THEFT 2ND DEGREE,Property,Theft,4.57
2016,09/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,35,Newton Correctional Facility,715A.2(2)a,D Felony,"50208(41.707788, -93.035318)",FORGERY,Property,Forgery/Fraud,20.2
2014,10/01/2013 12:00:00 AM,Parole Granted,White - Hispanic,Male,21,Iowa State Penitentiary,713.6A,D Felony,"52627(40.651925, -91.34727)",BURGLARY 3RD DEGREE,Property,Burglary,6.02
2015,11/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,33,Newton Correctional Facility,714.2(2),D Felony,"50208(41.707788, -93.035318)",THEFT 2ND DEGREE,Property,Theft,19.47
2016,11/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,43,Newton Correctional Facility,713.5,C Felony,"50208(41.707788, -93.035318)",BURGLARY 2ND DEGREE,Property,Burglary,34.05
2015,06/01/2015 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,42,Anamosa State Penitentiary,124.401(1)(a)(2)(b),B Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine GT 5kg",Drug,Trafficking,96.58
2014,01/01/2014 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,24,Newton Correctional Facility,713.5,C Felony,"50208(41.707788, -93.035318)",BURGLARY 2ND DEGREE,Property,Burglary,23.13
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Clarinda Correctional Facility,714.2(1),C Felony,"51632(40.747654, -95.045654)",THEFT 1ST DEGREE,Property,Theft,17.93
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,48,Clarinda Correctional Facility,321J.2(C),D Felony,"51632(40.747654, -95.045654)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,9.44
2015,01/01/2015 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,34,Mount Pleasant Correctional Facility,713.5,C Felony,"52641(40.988278, -91.57896)",BURGLARY 2ND DEGREE,Property,Burglary,61.55
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,47,Mount Pleasant Correctional Facility,708.2(1),Aggravated Misdemeanor,"52641(40.988278, -91.57896)",ASSAULT INTENT OF INJURY,Violent,Assault,3.45
2014,03/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,4.84
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,29,Iowa Correctional Institution for Women,124.401(1)(c)(1),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Heroin LT 100gm",Drug,Trafficking,11.94
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,30,Mount Pleasant Correctional Facility,124.401(1)(c)(6),C Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,17.37
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Mount Pleasant Correctional Facility,709.4,C Felony,"52641(40.988278, -91.57896)",Sex Abuse 3rd Degree-Life Special Sentence,Violent,Sex,99.51
2016,02/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,23,Mount Pleasant Correctional Facility,124.401A,Felony - Enhancement to Original Penalty,"52641(40.988278, -91.57896)","Proh Acts-Dist, Poss w/Int to Dist Sched I, II, III-Real Prop-penalty enhanced-add 5 yr",Drug,Trafficking,23.16
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,20,Fort Dodge Correctional Facility,"706.3,A",C Felony,"50501(42.494187, -94.188076)",CONSPIRACY/COMMIT FORC FELONY,Violent,Other Violent,12.6
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,43,Anamosa State Penitentiary,124.401(1)(b)(7),B Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,30.66
2018,05/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,34,Mount Pleasant Correctional Facility,726.6(6),Aggravated Misdemeanor,,CHILD ENDANGERMENT/NO INJURY,Violent,Assault,17.24
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,26,Iowa Correctional Institution for Women,714.2(1),C Felony,"50169(41.658201, -93.356797)",THEFT 1ST DEGREE,Property,Theft,7.63
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Hispanic,Male,29,Clarinda Correctional Facility,715A.2(2)a,D Felony,"51632(40.747654, -95.045654)",FORGERY,Property,Forgery/Fraud,13.19
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,Newton Correctional Facility,708.2(3),Aggravated Misdemeanor,"50208(41.707788, -93.035318)",ASSAULT WITH A WEAPON,Violent,Assault,10.66
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,21,Fort Dodge Correctional Facility,713.5,C Felony,"50501(42.494187, -94.188076)",BURGLARY 2ND DEGREE,Property,Burglary,17.99
2014,02/01/2014 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Female,25,Iowa Correctional Institution for Women,321.561,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic,2.89
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,40,Fort Dodge Correctional Facility,715A.2(2)a,D Felony,"50501(42.494187, -94.188076)",FORGERY,Property,Forgery/Fraud,10.59
2015,01/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Female,36,Iowa Correctional Institution for Women,321.561,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic,3.42
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,46,Clarinda Correctional Facility,714.2(1),C Felony,"51632(40.747654, -95.045654)",THEFT 1ST DEGREE,Property,Theft,60.36
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,38,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,13.88
2015,04/01/2015 12:00:00 AM,Parole Granted,White - Hispanic,Male,22,North Central Correctional Facility,713.5,C Felony,"50579(42.394184, -94.640946)",BURGLARY 2ND DEGREE,Property,Burglary,12.63
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,48,Iowa Correctional Institution for Women,124.411,Felony - Enhancement to Original Penalty,"50169(41.658201, -93.356797)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,32.93
2014,01/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,27,Newton Correctional Facility,716.4,D Felony,"50208(41.707788, -93.035318)",CRIMINAL MISCHIEF 2ND DEGREE,Property,Vandalism,4.74
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,Iowa Medical & Classification Center,321J.2(B),Aggravated Misdemeanor,"52241(41.694462, -91.58569)",OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI,2.04
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,39,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,10.82
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,21,Fort Dodge Correctional Facility,708.2A(2)(d),Aggravated Misdemeanor,"50501(42.494187, -94.188076)",Domestic Abuse Assault Impeding Flow of Air/Blood,Violent,Assault,6.51
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,52,Anamosa State Penitentiary,124.411,Felony - Enhancement to Original Penalty,"52205(42.112167, -91.282703)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,33.39
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Mount Pleasant Correctional Facility,713.6A,D Felony,"52641(40.988278, -91.57896)",BURGLARY 3RD DEGREE,Property,Burglary,10.46
2016,01/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,34,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,18.52
